zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
South South,Delta,DE_34,ndokwa_east,<1hr to small city/town+,b6595a60-951a-4653-960a-7b711ef565de,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2010-02-01,07:00:00.000+01:00,22:00:00.000+01:00,14,12,6,2 3,0,1,1,0,0,0,0,0,0,0,0,0,0,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,500000,1,15000,1,45,20,18,5,NA,1,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,3,45000,9000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4 5 6 7,0,0,0,1,1,1,1,0,0,0,0,0,0,0,7,24,1,0,4500,5500,1500,3,2,0,NA,1 4 6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,3,2,2,2,3,6,6,3000,any appliances,the grid,a group of local townspeople,12,9,3000,lighting and phone charging and fan and tv,a diesel generator,a private power company,6,3,100000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,12,3,33000,NA,a solar home system,the state electricity company,a,2,b,1,100000,grid supply,NA,0,66000,0,33000,0,2000,The name of the settlement is Afor Obetim not Otoko,yes,0.0262260878809826
North West,Kano,KN_105,wudil,Town,67894ba0-2d69-4a4c-a0aa-e6b5b52df015,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Provisions,8,0,0,0,0,0,0,0,1,2011-02-01,07:00:00.000+01:00,23:00:00.000+01:00,3,3,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12 1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15000,0,4000,0,21,2,14,3,NA,3,NA,1,1,0,NA,NA,NA,NA,1 3 5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,50000,10000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8 7,0,0,0,0,0,0,1,1,0,0,0,0,0,12,7,12,0,0,1500,3000,2500,4,4,1,1200,1 2 3 6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,3,3,4,4,3,12,12,33000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,12,66000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,3,6,100000,any appliances,a diesel generator,a group of local townspeople,3,12,33000,any appliances,a solar microgrid,the state electricity company,a,2,b,2,100000,off-grid supply,NA,1,100000,NA,66000,NA,100000,NA,yes,0.0647791679678935
North West,Kano,KN_105,wudil,Town,e5fcb056-3752-44aa-9f91-8ed6d9fa054a,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Provisions,8,0,0,0,0,0,0,0,1,2021-02-01,08:00:00.000+01:00,23:00:00.000+01:00,3,3,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180000,3,50000,0,30,5,20,3,NA,3,NA,1,1,0,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5 7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,80000,12000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12,7,12,0,0,1500,4000,2500,4,4,1,1000,1 3 6,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,3,3,4,4,3,12,3,33000,lighting and phone charging,a solar microgrid,the state electricity company,9,6,3000,lighting and phone charging and fan and tv,a solar home system,a private power company,12,3,3000,any appliances,a solar home system,the state electricity company,12,3,66000,any appliances,a diesel generator,the state electricity company,b,3,a,3,100000,grid supply,that can power all appliances,0,66000,0,33000,1,33000,NA,yes,0.0647791679678935
North West,Kano,KN_105,wudil,Town,41fb869c-2644-4450-9274-23e91338f3a9,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Utai,8,0,0,0,0,0,0,0,1,2019-02-01,08:00:00.000+01:00,22:00:00.000+01:00,2,2,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,1 2 3 4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,150000,0,20000,0,39,5,22,3,NA,3,NA,1,1,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,90000,12000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12,7,12,0,0,1500,5000,1500,2,2,0,NA,1 3 6,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,3,2,3,2,2,3,3,33000,lighting and phone charging,a solar home system,a group of local townspeople,3,12,100000,lighting and phone charging,a solar home system,a private power company,9,6,3000,lighting and phone charging and fan and tv,a solar home system,a private power company,3,6,100000,any appliances,a solar home system,a group of local townspeople,a,1,a,1,100000,off-grid supply,NA,0,66000,0,33000,1,33000,NA,yes,0.0647791679678935
North West,Kano,KN_105,wudil,Town,d1d83b87-a824-472d-af6d-32b879034726,1,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2010-02-01,07:00:00.000+01:00,22:00:00.000+01:00,3,3,6,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,2 3 4 5 6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,500000,2,20000,0,43,10,20,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,80000,9000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12,7,12,0,0,1000,5000,2000,4,4,0,NA,1 3 5 6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,3,4,4,3,2,3,9,3000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,6,6,66000,lighting and phone charging,a solar home system,a private power company,9,3,66000,lighting and phone charging,a solar microgrid,the state electricity company,6,3,66000,any appliances,a solar microgrid,a private power company,a,2,b,1,9000,grid supply,that can power all appliances,1,33000,1,66000,0,33000,NA,yes,0.0647791679678935
North West,Kano,KN_105,wudil,Town,9d4f9e1c-7f4f-49ad-8ee4-7c65a92ef22b,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Charging, POS and Downloads",8,0,0,0,0,0,0,0,1,2014-02-01,08:00:00.000+01:00,23:00:00.000+01:00,3,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,500000,2,30000,0,26,8,21,3,NA,3,NA,1,1,0,NA,NA,NA,NA,3 5 1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,2,3,80000,15000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,17,0,0,2000,5000,1500,4,3,0,NA,1 2 3 5 6,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,4,4,4,9,3,33000,any appliances,a diesel generator,a group of local townspeople,3,9,3000,lighting and phone charging,the grid,a private power company,3,3,3000,any appliances,a solar home system,a group of local townspeople,3,6,33000,lighting and phone charging,the grid,a private power company,a,1,a,1,33000,off-grid supply,that can power all appliances,0,9000,1,33000,NA,9000,NA,yes,0.0647791679678935
North West,Kaduna,KD_80,zangon_kataf,<1hr to small city/town+,49f7ed33-77ad-4901-a8bb-d8824a19c94e,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Shoemaking,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2017-02-01,07:30:00.000+01:00,19:00:00.000+01:00,2,4,6,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,2 10 11 12 4,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,60000,2,20000,0,41,6,14,96,Ikulu,96,Ikulu,0,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7 5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,1,15000,12000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12400,1 3,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,1,5,1,1,1,1,9,3,3000,lighting and phone charging,a diesel generator,a private power company,6,9,33000,lighting and phone charging and fan and tv,a solar home system,a private power company,6,NA,33000,lighting and phone charging,a solar home system,a private power company,6,3,100000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,b,2,b,1,6000,grid supply,NA,0,3000,0,3000,0,2000,This EA haven't had light for more than a year. The question on kilowatts is not a float.,yes,0.0695659107369484
North West,Kaduna,KD_80,zangon_kataf,<1hr to small city/town+,bfa7eb98-6c0d-4444-980b-b40f225f9d07,1,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2007-02-01,07:01:00.000+01:00,22:00:00.000+01:00,2,2,6,1 2 3,1,1,1,0,0,0,0,0,0,0,0,0,0,7 8 12 4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,40000,0,15000,0,42,15,14,96,Ikulu,96,Ikulu,1,1,0,NA,NA,NA,NA,11 3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,22000,25000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,1,6,1,1,1,1,6,9,100000,lighting and phone charging,the grid,a group of local townspeople,NA,6,100000,any appliances,a solar microgrid,the state electricity company,9,3,3000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,3,9,66000,any appliances,a solar microgrid,a private power company,b,1,b,1,66000,grid supply,NA,0,33000,0,9000,1,10000,This EA haven't had light for morethan a year,yes,0.0695659107369484
North Central,Federal Capital Territory,FC_74,municipal_area_council,<1hr to large city,a32d4fdc-1d60-40c1-a822-29b3313b30f9,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2016-02-01,07:36:00.000+01:00,22:36:00.000+01:00,5,4,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500000,0,20000,1,32,14,14,11,NA,9,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,20,0,0,1000,5000,1000,3,2,1,1000,6 1,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,1,4,2,2,4,2,9,12,3000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,6,6,100000,lighting and phone charging,the grid,the state electricity company,3,3,100000,lighting and phone charging,a diesel generator,a private power company,9,12,3000,lighting and phone charging,the grid,a group of local townspeople,a,3,b,3,100000,grid supply,NA,0,66000,0,33000,0,5000,NA,yes,0.0967626362965867
North Central,Federal Capital Territory,FC_74,municipal_area_council,<1hr to large city,695d2968-aa93-4555-b420-d21a927d35a2,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2018-02-01,09:00:00.000+01:00,21:00:00.000+01:00,12,10,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200000,0,10000,0,47,10,22,5,NA,9,NA,1,1,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,35000,6000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,16,0,0,1000,15000,3200,2,2,0,NA,1 3 4 6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,2,3,2,2,2,3,3,66000,lighting and phone charging,a diesel generator,the state electricity company,12,9,100000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,9,9,3000,any appliances,the grid,a private power company,3,12,33000,any appliances,the grid,a private power company,a,1,a,3,100000,off-grid supply,NA,0,66000,0,33000,0,3000,NA,yes,0.0967626362965867
North West,Kaduna,KD_80,zangon_kataf,<1hr to small city/town+,8d63e9b6-b90f-4aa9-b110-fea7d264ace7,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2011-02-01,08:00:00.000+01:00,18:00:00.000+01:00,3,3,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,130000,0,15000,0,38,23,22,96,Ikulu,96,Ikulu,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5 7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,25000,3500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3000,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,4,1,4,2,1,4,2,3,6,100000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,3,3,33000,lighting and phone charging,the grid,a group of local townspeople,12,6,3000,any appliances,a solar home system,a private power company,6,6,66000,lighting and phone charging,a solar microgrid,a group of local townspeople,a,3,a,3,100000,off-grid supply,NA,0,66000,0,33000,1,33000,The EA haven't had light for over a year,yes,0.0695659107369484
North West,Kaduna,KD_80,zangon_kataf,<1hr to small city/town+,52d1f693-a52b-45ef-b7f4-94f597139a8f,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2010-02-01,07:00:00.000+01:00,22:00:00.000+01:00,3,3,6,7 2 11 9,0,1,0,0,0,0,1,0,1,0,1,0,0,12 11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30000,0,10000,0,43,15,11,5,NA,5,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5 7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,12000,3000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3500,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,1,3,1,2,2,1,6,6,100000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,9,12,33000,lighting and phone charging,a diesel generator,a group of local townspeople,3,9,100000,any appliances,the grid,a group of local townspeople,6,9,3000,lighting and phone charging,a solar microgrid,the state electricity company,b,1,b,1,66000,grid supply,that can power all appliances,0,33000,0,9000,0,2000,The EA haven't had light for over a year,yes,0.0695659107369484
North Central,Federal Capital Territory,FC_71,bwari,Town,822d136e-3553-4e4d-9da6-d7adf407539c,1,NA,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6 5 4 3 2 1,1,1,1,1,1,1,0,0,2020-02-01,08:00:00.000+01:00,18:00:00.000+01:00,7,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2 3 4 5 6 7 8 9 10 11 12,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,35000,1,25000,1,40,3,16,5,NA,1,NA,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1 4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,60,8,2,5000,3850,1,NA,3,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2 3 4,0,1,1,1,0,0,0,0,0,0,0,0,0,6,7,18,1,0,99,99,15000,3,2,0,NA,1 3 6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,98,3,2,3,3,4,2,4,2,3,12,33000,lighting and phone charging,a diesel generator,a private power company,9,6,66000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,6,6,66000,lighting and phone charging,a diesel generator,a group of local townspeople,12,12,66000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,a,1,b,1,66000,grid supply,that can power all appliances,0,33000,0,9000,0,5000,NA,yes,0.0261256220971568
